Código;Descripción
W83.90;Otras obstrucciones especificadas de la respiración, lugar no especificado, mientras realiza una actividad deportiva
W83.91;Otras obstrucciones especificadas de la respiración, lugar no especificado, mientras realiza una actividad de recreación
W83.92;Otras obstrucciones especificadas de la respiración, lugar no especificado, mientras trabaja en forma remunerada
W83.93;Otras obstrucciones especificadas de la respiración, lugar no especificado, mientras está ocupado en otros tipos de trabajo
W83.94;Otras obstrucciones especificadas de la respiración, lugar no especificado, mientras descansa, duerme, come o realiza otras actividades vitales
W83.98;Otras obstrucciones especificadas de la respiración, lugar no especificado, mientras está ocupado en otras actividades especificadas
W83.99;Otras obstrucciones especificadas de la respiración, lugar no especificado, durante una actividad no especificada
W84.00;Obstrucción no especificada de la respiración, vivienda, mientras realiza una actividad deportiva
W84.01;Obstrucción no especificada de la respiración, vivienda, mientras realiza una actividad de recreación
W84.02;Obstrucción no especificada de la respiración, vivienda, mientras trabaja en forma remunerada
W84.03;Obstrucción no especificada de la respiración, vivienda, mientras está ocupado en otros tipos de trabajo
W84.04;Obstrucción no especificada de la respiración, vivienda, mientras descansa, duerme, come o realiza otras actividades vitales
W84.08;Obstrucción no especificada de la respiración, vivienda, mientras está ocupado en otras actividades especificadas
W84.09;Obstrucción no especificada de la respiración, vivienda, durante una actividad no especificada
W84.10;Obstrucción no especificada de la respiración, institución residencial, mientras realiza una actividad deportiva
W84.11;Obstrucción no especificada de la respiración, institución residencial, mientras realiza una actividad de recreación
W84.12;Obstrucción no especificada de la respiración, institución residencial, mientras trabaja en forma remunerada
W84.13;Obstrucción no especificada de la respiración, institución residencial, mientras está ocupado en otros tipos de trabajo
W84.14;Obstrucción no especificada de la respiración, institución residencial, mientras descansa, duerme, come o realiza otras actividades vitales
W84.18;Obstrucción no especificada de la respiración, institución residencial, mientras está ocupado en otras actividades especificadas
W84.19;Obstrucción no especificada de la respiración, institución residencial, durante una actividad no especificada
W84.20;Obstrucción no especificada de la respiración, escuelas, otras instituciones y áreas administrativas públicas, mientras realiza una actividad deportiva
W84.21;Obstrucción no especificada de la respiración, escuelas, otras instituciones y áreas administrativas públicas, mientras realiza una actividad de recreación
W84.22;Obstrucción no especificada de la respiración, escuelas, otras instituciones y áreas administrativas públicas, mientras trabaja en forma remunerada
W84.23;Obstrucción no especificada de la respiración, escuelas, otras instituciones y áreas administrativas públicas, mientras está ocupado en otros tipos de trabajo
W84.24;Obstrucción no especificada de la respiración, escuelas, otras instituciones y áreas administrativas públicas, mientras descansa, duerme, come o realiza otras actividades vitales
W84.28;Obstrucción no especificada de la respiración, escuelas, otras instituciones y áreas administrativas públicas, mientras está ocupado en otras actividades especificadas
W84.29;Obstrucción no especificada de la respiración, escuelas, otras instituciones y áreas administrativas públicas, durante una actividad no especificada
W84.30;Obstrucción no especificada de la respiración, áreas de deporte y atletismo, mientras realiza una actividad deportiva
W84.31;Obstrucción no especificada de la respiración, áreas de deporte y atletismo, mientras realiza una actividad de recreación
W84.32;Obstrucción no especificada de la respiración, áreas de deporte y atletismo, mientras trabaja en forma remunerada
W84.33;Obstrucción no especificada de la respiración, áreas de deporte y atletismo, mientras está ocupado en otros tipos de trabajo
W84.34;Obstrucción no especificada de la respiración, áreas de deporte y atletismo, mientras descansa, duerme, come o realiza otras actividades vitales
W84.38;Obstrucción no especificada de la respiración, áreas de deporte y atletismo, mientras está ocupado en otras actividades especificadas
W84.39;Obstrucción no especificada de la respiración, áreas de deporte y atletismo, durante una actividad no especificada
W84.40;Obstrucción no especificada de la respiración, calles y carreteras, mientras realiza una actividad deportiva
W84.41;Obstrucción no especificada de la respiración, calles y carreteras, mientras realiza una actividad de recreación
W84.42;Obstrucción no especificada de la respiración, calles y carreteras, mientras trabaja en forma remunerada
W84.43;Obstrucción no especificada de la respiración, calles y carreteras, mientras está ocupado en otros tipos de trabajo
W84.44;Obstrucción no especificada de la respiración, calles y carreteras, mientras descansa, duerme, come o realiza otras actividades vitales
W84.48;Obstrucción no especificada de la respiración, calles y carreteras, mientras está ocupado en otras actividades especificadas
W84.49;Obstrucción no especificada de la respiración, calles y carreteras, durante una actividad no especificada
W84.50;Obstrucción no especificada de la respiración, comercio y área de servicios, mientras realiza una actividad deportiva
W84.51;Obstrucción no especificada de la respiración, comercio y área de servicios, mientras realiza una actividad de recreación
W84.52;Obstrucción no especificada de la respiración, comercio y área de servicios, mientras trabaja en forma remunerada
W84.53;Obstrucción no especificada de la respiración, comercio y área de servicios, mientras está ocupado en otros tipos de trabajo
W84.54;Obstrucción no especificada de la respiración, comercio y área de servicios, mientras descansa, duerme, come o realiza otras actividades vitales
W84.58;Obstrucción no especificada de la respiración, comercio y área de servicios, mientras está ocupado en otras actividades especificadas
W84.59;Obstrucción no especificada de la respiración, comercio y área de servicios, durante una actividad no especificada
W84.60;Obstrucción no especificada de la respiración, área industrial y de la construcción, mientras realiza una actividad deportiva
W84.61;Obstrucción no especificada de la respiración, área industrial y de la construcción, mientras realiza una actividad de recreación
W84.62;Obstrucción no especificada de la respiración, área industrial y de la construcción, mientras trabaja en forma remunerada
W84.63;Obstrucción no especificada de la respiración, área industrial y de la construcción, mientras está ocupado en otros tipos de trabajo
W84.64;Obstrucción no especificada de la respiración, área industrial y de la construcción, mientras descansa, duerme, come o realiza otras actividades vitales
W84.68;Obstrucción no especificada de la respiración, área industrial y de la construcción, mientras está ocupado en otras actividades especificadas
W84.69;Obstrucción no especificada de la respiración, área industrial y de la construcción, durante una actividad no especificada
W84.70;Obstrucción no especificada de la respiración, granja, mientras realiza una actividad deportiva
W84.71;Obstrucción no especificada de la respiración, granja, mientras realiza una actividad de recreación
W84.72;Obstrucción no especificada de la respiración, granja, mientras trabaja en forma remunerada
W84.73;Obstrucción no especificada de la respiración, granja, mientras está ocupado en otros tipos de trabajo
W84.74;Obstrucción no especificada de la respiración, granja, mientras descansa, duerme, come o realiza otras actividades vitales
W84.78;Obstrucción no especificada de la respiración, granja, mientras está ocupado en otras actividades especificadas
W84.79;Obstrucción no especificada de la respiración, granja, durante una actividad no especificada
W84.80;Obstrucción no especificada de la respiración, otro lugar especificado, mientras realiza una actividad deportiva
W84.81;Obstrucción no especificada de la respiración, otro lugar especificado, mientras realiza una actividad de recreación
W84.82;Obstrucción no especificada de la respiración, otro lugar especificado, mientras trabaja en forma remunerada
W84.83;Obstrucción no especificada de la respiración, otro lugar especificado, mientras está ocupado en otros tipos de trabajo
W84.84;Obstrucción no especificada de la respiración, otro lugar especificado, mientras descansa, duerme, come o realiza otras actividades vitales
W84.88;Obstrucción no especificada de la respiración, otro lugar especificado, mientras está ocupado en otras actividades especificadas
W84.89;Obstrucción no especificada de la respiración, otro lugar especificado, durante una actividad no especificada
W84.90;Obstrucción no especificada de la respiración, lugar no especificado, mientras realiza una actividad deportiva
W84.91;Obstrucción no especificada de la respiración, lugar no especificado, mientras realiza una actividad de recreación
W84.92;Obstrucción no especificada de la respiración, lugar no especificado, mientras trabaja en forma remunerada
W84.93;Obstrucción no especificada de la respiración, lugar no especificado, mientras está ocupado en otros tipos de trabajo
W84.94;Obstrucción no especificada de la respiración, lugar no especificado, mientras descansa, duerme, come o realiza otras actividades vitales
W84.98;Obstrucción no especificada de la respiración, lugar no especificado, mientras está ocupado en otras actividades especificadas
W84.99;Obstrucción no especificada de la respiración, lugar no especificado, durante una actividad no especificada
W85.00;Exposición a líneas de transmisión eléctrica, vivienda, mientras realiza una actividad deportiva
W85.01;Exposición a líneas de transmisión eléctrica, vivienda, mientras realiza una actividad de recreación
W85.02;Exposición a líneas de transmisión eléctrica, vivienda, mientras trabaja en forma remunerada
W85.03;Exposición a líneas de transmisión eléctrica, vivienda, mientras está ocupado en otros tipos de trabajo
W85.04;Exposición a líneas de transmisión eléctrica, vivienda, mientras descansa, duerme, come o realiza otras actividades vitales
W85.08;Exposición a líneas de transmisión eléctrica, vivienda, mientras está ocupado en otras actividades especificadas
W85.09;Exposición a líneas de transmisión eléctrica, vivienda, durante una actividad no especificada
W85.10;Exposición a líneas de transmisión eléctrica, institución residencial, mientras realiza una actividad deportiva
W85.11;Exposición a líneas de transmisión eléctrica, institución residencial, mientras realiza una actividad de recreación
W85.12;Exposición a líneas de transmisión eléctrica, institución residencial, mientras trabaja en forma remunerada
W85.13;Exposición a líneas de transmisión eléctrica, institución residencial, mientras está ocupado en otros tipos de trabajo
W85.14;Exposición a líneas de transmisión eléctrica, institución residencial, mientras descansa, duerme, come o realiza otras actividades vitales
W85.18;Exposición a líneas de transmisión eléctrica, institución residencial, mientras está ocupado en otras actividades especificadas
W85.19;Exposición a líneas de transmisión eléctrica, institución residencial, durante una actividad no especificada
W85.20;Exposición a líneas de transmisión eléctrica, escuelas, otras instituciones y áreas administrativas públicas, mientras realiza una actividad deportiva
W85.21;Exposición a líneas de transmisión eléctrica, escuelas, otras instituciones y áreas administrativas públicas, mientras realiza una actividad de recreación
W85.22;Exposición a líneas de transmisión eléctrica, escuelas, otras instituciones y áreas administrativas públicas, mientras trabaja en forma remunerada
W85.23;Exposición a líneas de transmisión eléctrica, escuelas, otras instituciones y áreas administrativas públicas, mientras está ocupado en otros tipos de trabajo
W85.24;Exposición a líneas de transmisión eléctrica, escuelas, otras instituciones y áreas administrativas públicas, mientras descansa, duerme, come o realiza otras actividades vitales
W85.28;Exposición a líneas de transmisión eléctrica, escuelas, otras instituciones y áreas administrativas públicas, mientras está ocupado en otras actividades especificadas
W85.29;Exposición a líneas de transmisión eléctrica, escuelas, otras instituciones y áreas administrativas públicas, durante una actividad no especificada
W85.30;Exposición a líneas de transmisión eléctrica, áreas de deporte y atletismo, mientras realiza una actividad deportiva
W85.31;Exposición a líneas de transmisión eléctrica, áreas de deporte y atletismo, mientras realiza una actividad de recreación
W85.32;Exposición a líneas de transmisión eléctrica, áreas de deporte y atletismo, mientras trabaja en forma remunerada
W85.33;Exposición a líneas de transmisión eléctrica, áreas de deporte y atletismo, mientras está ocupado en otros tipos de trabajo
W85.34;Exposición a líneas de transmisión eléctrica, áreas de deporte y atletismo, mientras descansa, duerme, come o realiza otras actividades vitales
W85.38;Exposición a líneas de transmisión eléctrica, áreas de deporte y atletismo, mientras está ocupado en otras actividades especificadas
W85.39;Exposición a líneas de transmisión eléctrica, áreas de deporte y atletismo, durante una actividad no especificada
W85.40;Exposición a líneas de transmisión eléctrica, calles y carreteras, mientras realiza una actividad deportiva
W85.41;Exposición a líneas de transmisión eléctrica, calles y carreteras, mientras realiza una actividad de recreación
W85.42;Exposición a líneas de transmisión eléctrica, calles y carreteras, mientras trabaja en forma remunerada
W85.43;Exposición a líneas de transmisión eléctrica, calles y carreteras, mientras está ocupado en otros tipos de trabajo
W85.44;Exposición a líneas de transmisión eléctrica, calles y carreteras, mientras descansa, duerme, come o realiza otras actividades vitales
W85.48;Exposición a líneas de transmisión eléctrica, calles y carreteras, mientras está ocupado en otras actividades especificadas
W85.49;Exposición a líneas de transmisión eléctrica, calles y carreteras, durante una actividad no especificada
W85.50;Exposición a líneas de transmisión eléctrica, comercio y área de servicios, mientras realiza una actividad deportiva
W85.51;Exposición a líneas de transmisión eléctrica, comercio y área de servicios, mientras realiza una actividad de recreación
W85.52;Exposición a líneas de transmisión eléctrica, comercio y área de servicios, mientras trabaja en forma remunerada
W85.53;Exposición a líneas de transmisión eléctrica, comercio y área de servicios, mientras está ocupado en otros tipos de trabajo
W85.54;Exposición a líneas de transmisión eléctrica, comercio y área de servicios, mientras descansa, duerme, come o realiza otras actividades vitales
W85.58;Exposición a líneas de transmisión eléctrica, comercio y área de servicios, mientras está ocupado en otras actividades especificadas
W85.59;Exposición a líneas de transmisión eléctrica, comercio y área de servicios, durante una actividad no especificada
W85.60;Exposición a líneas de transmisión eléctrica, área industrial y de la construcción, mientras realiza una actividad deportiva
W85.61;Exposición a líneas de transmisión eléctrica, área industrial y de la construcción, mientras realiza una actividad de recreación
W85.62;Exposición a líneas de transmisión eléctrica, área industrial y de la construcción, mientras trabaja en forma remunerada
W85.63;Exposición a líneas de transmisión eléctrica, área industrial y de la construcción, mientras está ocupado en otros tipos de trabajo
W85.64;Exposición a líneas de transmisión eléctrica, área industrial y de la construcción, mientras descansa, duerme, come o realiza otras actividades vitales
W85.68;Exposición a líneas de transmisión eléctrica, área industrial y de la construcción, mientras está ocupado en otras actividades especificadas
W85.69;Exposición a líneas de transmisión eléctrica, área industrial y de la construcción, durante una actividad no especificada
W85.70;Exposición a líneas de transmisión eléctrica, granja, mientras realiza una actividad deportiva
W85.71;Exposición a líneas de transmisión eléctrica, granja, mientras realiza una actividad de recreación
W85.72;Exposición a líneas de transmisión eléctrica, granja, mientras trabaja en forma remunerada
W85.73;Exposición a líneas de transmisión eléctrica, granja, mientras está ocupado en otros tipos de trabajo
W85.74;Exposición a líneas de transmisión eléctrica, granja, mientras descansa, duerme, come o realiza otras actividades vitales
W85.78;Exposición a líneas de transmisión eléctrica, granja, mientras está ocupado en otras actividades especificadas
W85.79;Exposición a líneas de transmisión eléctrica, granja, durante una actividad no especificada
W85.80;Exposición a líneas de transmisión eléctrica, otro lugar especificado, mientras realiza una actividad deportiva
W85.81;Exposición a líneas de transmisión eléctrica, otro lugar especificado, mientras realiza una actividad de recreación
W85.82;Exposición a líneas de transmisión eléctrica, otro lugar especificado, mientras trabaja en forma remunerada
W85.83;Exposición a líneas de transmisión eléctrica, otro lugar especificado, mientras está ocupado en otros tipos de trabajo
W85.84;Exposición a líneas de transmisión eléctrica, otro lugar especificado, mientras descansa, duerme, come o realiza otras actividades vitales
W85.88;Exposición a líneas de transmisión eléctrica, otro lugar especificado, mientras está ocupado en otras actividades especificadas
W85.89;Exposición a líneas de transmisión eléctrica, otro lugar especificado, durante una actividad no especificada
W85.90;Exposición a líneas de transmisión eléctrica, lugar no especificado, mientras realiza una actividad deportiva
W85.91;Exposición a líneas de transmisión eléctrica, lugar no especificado, mientras realiza una actividad de recreación
W85.92;Exposición a líneas de transmisión eléctrica, lugar no especificado, mientras trabaja en forma remunerada
W85.93;Exposición a líneas de transmisión eléctrica, lugar no especificado, mientras está ocupado en otros tipos de trabajo
W85.94;Exposición a líneas de transmisión eléctrica, lugar no especificado, mientras descansa, duerme, come o realiza otras actividades vitales
W85.98;Exposición a líneas de transmisión eléctrica, lugar no especificado, mientras está ocupado en otras actividades especificadas
W85.99;Exposición a líneas de transmisión eléctrica, lugar no especificado, durante una actividad no especificada
W86.00;Exposición a otras corrientes eléctricas especificadas, vivienda, mientras realiza una actividad deportiva
W86.01;Exposición a otras corrientes eléctricas especificadas, vivienda, mientras realiza una actividad de recreación
W86.02;Exposición a otras corrientes eléctricas especificadas, vivienda, mientras trabaja en forma remunerada
W86.03;Exposición a otras corrientes eléctricas especificadas, vivienda, mientras está ocupado en otros tipos de trabajo
W86.04;Exposición a otras corrientes eléctricas especificadas, vivienda, mientras descansa, duerme, come o realiza otras actividades vitales
W86.08;Exposición a otras corrientes eléctricas especificadas, vivienda, mientras está ocupado en otras actividades especificadas
W86.09;Exposición a otras corrientes eléctricas especificadas, vivienda, durante una actividad no especificada
W86.10;Exposición a otras corrientes eléctricas especificadas, institución residencial, mientras realiza una actividad deportiva
W86.11;Exposición a otras corrientes eléctricas especificadas, institución residencial, mientras realiza una actividad de recreación
W86.12;Exposición a otras corrientes eléctricas especificadas, institución residencial, mientras trabaja en forma remunerada
W86.13;Exposición a otras corrientes eléctricas especificadas, institución residencial, mientras está ocupado en otros tipos de trabajo
W86.14;Exposición a otras corrientes eléctricas especificadas, institución residencial, mientras descansa, duerme, come o realiza otras actividades vitales
W86.18;Exposición a otras corrientes eléctricas especificadas, institución residencial, mientras está ocupado en otras actividades especificadas
W86.19;Exposición a otras corrientes eléctricas especificadas, institución residencial, durante una actividad no especificada
W86.20;Exposición a otras corrientes eléctricas especificadas, escuelas, otras instituciones y áreas administrativas públicas, mientras realiza una actividad deportiva
W86.21;Exposición a otras corrientes eléctricas especificadas, escuelas, otras instituciones y áreas administrativas públicas, mientras realiza una actividad de recreación
W86.22;Exposición a otras corrientes eléctricas especificadas, escuelas, otras instituciones y áreas administrativas públicas, mientras trabaja en forma remunerada
W86.23;Exposición a otras corrientes eléctricas especificadas, escuelas, otras instituciones y áreas administrativas públicas, mientras está ocupado en otros tipos de trabajo
W86.24;Exposición a otras corrientes eléctricas especificadas, escuelas, otras instituciones y áreas administrativas públicas, mientras descansa, duerme, come o realiza otras actividades vitales
W86.28;Exposición a otras corrientes eléctricas especificadas, escuelas, otras instituciones y áreas administrativas públicas, mientras está ocupado en otras actividades especificadas
W86.29;Exposición a otras corrientes eléctricas especificadas, escuelas, otras instituciones y áreas administrativas públicas, durante una actividad no especificada
W86.30;Exposición a otras corrientes eléctricas especificadas, áreas de deporte y atletismo, mientras realiza una actividad deportiva
W86.31;Exposición a otras corrientes eléctricas especificadas, áreas de deporte y atletismo, mientras realiza una actividad de recreación
W86.32;Exposición a otras corrientes eléctricas especificadas, áreas de deporte y atletismo, mientras trabaja en forma remunerada
W86.33;Exposición a otras corrientes eléctricas especificadas, áreas de deporte y atletismo, mientras está ocupado en otros tipos de trabajo
W86.34;Exposición a otras corrientes eléctricas especificadas, áreas de deporte y atletismo, mientras descansa, duerme, come o realiza otras actividades vitales
W86.38;Exposición a otras corrientes eléctricas especificadas, áreas de deporte y atletismo, mientras está ocupado en otras actividades especificadas
W86.39;Exposición a otras corrientes eléctricas especificadas, áreas de deporte y atletismo, durante una actividad no especificada
W86.40;Exposición a otras corrientes eléctricas especificadas, calles y carreteras, mientras realiza una actividad deportiva
W86.41;Exposición a otras corrientes eléctricas especificadas, calles y carreteras, mientras realiza una actividad de recreación
W86.42;Exposición a otras corrientes eléctricas especificadas, calles y carreteras, mientras trabaja en forma remunerada
W86.43;Exposición a otras corrientes eléctricas especificadas, calles y carreteras, mientras está ocupado en otros tipos de trabajo
W86.44;Exposición a otras corrientes eléctricas especificadas, calles y carreteras, mientras descansa, duerme, come o realiza otras actividades vitales
W86.48;Exposición a otras corrientes eléctricas especificadas, calles y carreteras, mientras está ocupado en otras actividades especificadas
W86.49;Exposición a otras corrientes eléctricas especificadas, calles y carreteras, durante una actividad no especificada
W86.50;Exposición a otras corrientes eléctricas especificadas, comercio y área de servicios, mientras realiza una actividad deportiva
W86.51;Exposición a otras corrientes eléctricas especificadas, comercio y área de servicios, mientras realiza una actividad de recreación
W86.52;Exposición a otras corrientes eléctricas especificadas, comercio y área de servicios, mientras trabaja en forma remunerada
W86.53;Exposición a otras corrientes eléctricas especificadas, comercio y área de servicios, mientras está ocupado en otros tipos de trabajo
W86.54;Exposición a otras corrientes eléctricas especificadas, comercio y área de servicios, mientras descansa, duerme, come o realiza otras actividades vitales
W86.58;Exposición a otras corrientes eléctricas especificadas, comercio y área de servicios, mientras está ocupado en otras actividades especificadas
W86.59;Exposición a otras corrientes eléctricas especificadas, comercio y área de servicios, durante una actividad no especificada
W86.60;Exposición a otras corrientes eléctricas especificadas, área industrial y de la construcción, mientras realiza una actividad deportiva
W86.61;Exposición a otras corrientes eléctricas especificadas, área industrial y de la construcción, mientras realiza una actividad de recreación
W86.62;Exposición a otras corrientes eléctricas especificadas, área industrial y de la construcción, mientras trabaja en forma remunerada
W86.63;Exposición a otras corrientes eléctricas especificadas, área industrial y de la construcción, mientras está ocupado en otros tipos de trabajo
W86.64;Exposición a otras corrientes eléctricas especificadas, área industrial y de la construcción, mientras descansa, duerme, come o realiza otras actividades vitales
W86.68;Exposición a otras corrientes eléctricas especificadas, área industrial y de la construcción, mientras está ocupado en otras actividades especificadas
W86.69;Exposición a otras corrientes eléctricas especificadas, área industrial y de la construcción, durante una actividad no especificada
W86.70;Exposición a otras corrientes eléctricas especificadas, granja, mientras realiza una actividad deportiva
W86.71;Exposición a otras corrientes eléctricas especificadas, granja, mientras realiza una actividad de recreación
W86.72;Exposición a otras corrientes eléctricas especificadas, granja, mientras trabaja en forma remunerada
W86.73;Exposición a otras corrientes eléctricas especificadas, granja, mientras está ocupado en otros tipos de trabajo
W86.74;Exposición a otras corrientes eléctricas especificadas, granja, mientras descansa, duerme, come o realiza otras actividades vitales
W86.78;Exposición a otras corrientes eléctricas especificadas, granja, mientras está ocupado en otras actividades especificadas
W86.79;Exposición a otras corrientes eléctricas especificadas, granja, durante una actividad no especificada
W86.80;Exposición a otras corrientes eléctricas especificadas, otro lugar especificado, mientras realiza una actividad deportiva
W86.81;Exposición a otras corrientes eléctricas especificadas, otro lugar especificado, mientras realiza una actividad de recreación
W86.82;Exposición a otras corrientes eléctricas especificadas, otro lugar especificado, mientras trabaja en forma remunerada
W86.83;Exposición a otras corrientes eléctricas especificadas, otro lugar especificado, mientras está ocupado en otros tipos de trabajo
W86.84;Exposición a otras corrientes eléctricas especificadas, otro lugar especificado, mientras descansa, duerme, come o realiza otras actividades vitales
W86.88;Exposición a otras corrientes eléctricas especificadas, otro lugar especificado, mientras está ocupado en otras actividades especificadas
W86.89;Exposición a otras corrientes eléctricas especificadas, otro lugar especificado, durante una actividad no especificada
W86.90;Exposición a otras corrientes eléctricas especificadas, lugar no especificado, mientras realiza una actividad deportiva
W86.91;Exposición a otras corrientes eléctricas especificadas, lugar no especificado, mientras realiza una actividad de recreación
W86.92;Exposición a otras corrientes eléctricas especificadas, lugar no especificado, mientras trabaja en forma remunerada
W86.93;Exposición a otras corrientes eléctricas especificadas, lugar no especificado, mientras está ocupado en otros tipos de trabajo
W86.94;Exposición a otras corrientes eléctricas especificadas, lugar no especificado, mientras descansa, duerme, come o realiza otras actividades vitales
W86.98;Exposición a otras corrientes eléctricas especificadas, lugar no especificado, mientras está ocupado en otras actividades especificadas
W86.99;Exposición a otras corrientes eléctricas especificadas, lugar no especificado, durante una actividad no especificada
W87.00;Exposición a corriente eléctrica no especificada, vivienda, mientras realiza una actividad deportiva
W87.01;Exposición a corriente eléctrica no especificada, vivienda, mientras realiza una actividad de recreación
W87.02;Exposición a corriente eléctrica no especificada, vivienda, mientras trabaja en forma remunerada
W87.03;Exposición a corriente eléctrica no especificada, vivienda, mientras está ocupado en otros tipos de trabajo
W87.04;Exposición a corriente eléctrica no especificada, vivienda, mientras descansa, duerme, come o realiza otras actividades vitales
W87.08;Exposición a corriente eléctrica no especificada, vivienda, mientras está ocupado en otras actividades especificadas
W87.09;Exposición a corriente eléctrica no especificada, vivienda, durante una actividad no especificada
W87.10;Exposición a corriente eléctrica no especificada, institución residencial, mientras realiza una actividad deportiva
W87.11;Exposición a corriente eléctrica no especificada, institución residencial, mientras realiza una actividad de recreación
W87.12;Exposición a corriente eléctrica no especificada, institución residencial, mientras trabaja en forma remunerada
W87.13;Exposición a corriente eléctrica no especificada, institución residencial, mientras está ocupado en otros tipos de trabajo
W87.14;Exposición a corriente eléctrica no especificada, institución residencial, mientras descansa, duerme, come o realiza otras actividades vitales
W87.18;Exposición a corriente eléctrica no especificada, institución residencial, mientras está ocupado en otras actividades especificadas
W87.19;Exposición a corriente eléctrica no especificada, institución residencial, durante una actividad no especificada
W87.20;Exposición a corriente eléctrica no especificada, escuelas, otras instituciones y áreas administrativas públicas, mientras realiza una actividad deportiva
W87.21;Exposición a corriente eléctrica no especificada, escuelas, otras instituciones y áreas administrativas públicas, mientras realiza una actividad de recreación
W87.22;Exposición a corriente eléctrica no especificada, escuelas, otras instituciones y áreas administrativas públicas, mientras trabaja en forma remunerada
W87.23;Exposición a corriente eléctrica no especificada, escuelas, otras instituciones y áreas administrativas públicas, mientras está ocupado en otros tipos de trabajo
W87.24;Exposición a corriente eléctrica no especificada, escuelas, otras instituciones y áreas administrativas públicas, mientras descansa, duerme, come o realiza otras actividades vitales
W87.28;Exposición a corriente eléctrica no especificada, escuelas, otras instituciones y áreas administrativas públicas, mientras está ocupado en otras actividades especificadas
W87.29;Exposición a corriente eléctrica no especificada, escuelas, otras instituciones y áreas administrativas públicas, durante una actividad no especificada
W87.30;Exposición a corriente eléctrica no especificada, áreas de deporte y atletismo, mientras realiza una actividad deportiva
W87.31;Exposición a corriente eléctrica no especificada, áreas de deporte y atletismo, mientras realiza una actividad de recreación
W87.32;Exposición a corriente eléctrica no especificada, áreas de deporte y atletismo, mientras trabaja en forma remunerada
W87.33;Exposición a corriente eléctrica no especificada, áreas de deporte y atletismo, mientras está ocupado en otros tipos de trabajo
W87.34;Exposición a corriente eléctrica no especificada, áreas de deporte y atletismo, mientras descansa, duerme, come o realiza otras actividades vitales
W87.38;Exposición a corriente eléctrica no especificada, áreas de deporte y atletismo, mientras está ocupado en otras actividades especificadas
W87.39;Exposición a corriente eléctrica no especificada, áreas de deporte y atletismo, durante una actividad no especificada
W87.40;Exposición a corriente eléctrica no especificada, calles y carreteras, mientras realiza una actividad deportiva
W87.41;Exposición a corriente eléctrica no especificada, calles y carreteras, mientras realiza una actividad de recreación
W87.42;Exposición a corriente eléctrica no especificada, calles y carreteras, mientras trabaja en forma remunerada
W87.43;Exposición a corriente eléctrica no especificada, calles y carreteras, mientras está ocupado en otros tipos de trabajo
W87.44;Exposición a corriente eléctrica no especificada, calles y carreteras, mientras descansa, duerme, come o realiza otras actividades vitales
W87.48;Exposición a corriente eléctrica no especificada, calles y carreteras, mientras está ocupado en otras actividades especificadas
W87.49;Exposición a corriente eléctrica no especificada, calles y carreteras, durante una actividad no especificada
W87.50;Exposición a corriente eléctrica no especificada, comercio y área de servicios, mientras realiza una actividad deportiva
W87.51;Exposición a corriente eléctrica no especificada, comercio y área de servicios, mientras realiza una actividad de recreación
W87.52;Exposición a corriente eléctrica no especificada, comercio y área de servicios, mientras trabaja en forma remunerada
W87.53;Exposición a corriente eléctrica no especificada, comercio y área de servicios, mientras está ocupado en otros tipos de trabajo
W87.54;Exposición a corriente eléctrica no especificada, comercio y área de servicios, mientras descansa, duerme, come o realiza otras actividades vitales
W87.58;Exposición a corriente eléctrica no especificada, comercio y área de servicios, mientras está ocupado en otras actividades especificadas
W87.59;Exposición a corriente eléctrica no especificada, comercio y área de servicios, durante una actividad no especificada
W87.60;Exposición a corriente eléctrica no especificada, área industrial y de la construcción, mientras realiza una actividad deportiva
W87.61;Exposición a corriente eléctrica no especificada, área industrial y de la construcción, mientras realiza una actividad de recreación
W87.62;Exposición a corriente eléctrica no especificada, área industrial y de la construcción, mientras trabaja en forma remunerada
W87.63;Exposición a corriente eléctrica no especificada, área industrial y de la construcción, mientras está ocupado en otros tipos de trabajo
W87.64;Exposición a corriente eléctrica no especificada, área industrial y de la construcción, mientras descansa, duerme, come o realiza otras actividades vitales
W87.68;Exposición a corriente eléctrica no especificada, área industrial y de la construcción, mientras está ocupado en otras actividades especificadas
W87.69;Exposición a corriente eléctrica no especificada, área industrial y de la construcción, durante una actividad no especificada
W87.70;Exposición a corriente eléctrica no especificada, granja, mientras realiza una actividad deportiva
W87.71;Exposición a corriente eléctrica no especificada, granja, mientras realiza una actividad de recreación
W87.72;Exposición a corriente eléctrica no especificada, granja, mientras trabaja en forma remunerada
W87.73;Exposición a corriente eléctrica no especificada, granja, mientras está ocupado en otros tipos de trabajo
W87.74;Exposición a corriente eléctrica no especificada, granja, mientras descansa, duerme, come o realiza otras actividades vitales
W87.78;Exposición a corriente eléctrica no especificada, granja, mientras está ocupado en otras actividades especificadas
W87.79;Exposición a corriente eléctrica no especificada, granja, durante una actividad no especificada
W87.80;Exposición a corriente eléctrica no especificada, otro lugar especificado, mientras realiza una actividad deportiva
W87.81;Exposición a corriente eléctrica no especificada, otro lugar especificado, mientras realiza una actividad de recreación
W87.82;Exposición a corriente eléctrica no especificada, otro lugar especificado, mientras trabaja en forma remunerada
W87.83;Exposición a corriente eléctrica no especificada, otro lugar especificado, mientras está ocupado en otros tipos de trabajo
W87.84;Exposición a corriente eléctrica no especificada, otro lugar especificado, mientras descansa, duerme, come o realiza otras actividades vitales
